Nama Perguruan Tinggi,Lokasi,Tahun Berdiri
Akademi Komunitas Industri Manufaktur Bantaeng,"Bantaeng,Sulawesi Selatan",2018
Akademi Komunitas Industri Tekstil dan Produk Tekstil Surakarta,"Surakarta,Jawa Tengah",2015
Politeknik Pembangunan Pertanian Malang,"Malang,Jawa Timur",1986
Politeknik Pembangunan Pertanian Manokwari,"Manokwari,Papua Barat",1987
Politeknik Pembangunan Pertanian Medan,"Medan,Sumatera Utara",2018
Politeknik Pembangunan Pertanian Yogyakarta-Magelang,"Magelang,Jawa Tengah",2018
Politeknik Pembangunan Pertanian Gowa,"Gowa,Sulawesi Selatan",2018
Politeknik Pembangunan Pertanian Bogor,"Bogor,Jawa Barat",2018
Politeknik Enjiniring Pertanian Indonesia,"Tangerang,Banten",2019
Politeknik Kesejahteraan Sosial,"Bandung,Jawa Barat",1964
Universitas Pertahanan,"Bogor,Jawa Barat",2009
Akademi Metrologi dan Instrumentasi,"Bandung Barat,Jawa Barat",2015
Politeknik Pekerjaan Umum,"Semarang,Jawa Tengah",2018
Politeknik Ketenagakerjaan,"Ciracas,Jakarta Timur",2017
Sekolah Tinggi Pertanahan Nasional,"Sleman,DI Yogyakarta",1963
"Sekolah Tinggi Meteorologi, Klimatologi, dan Geofisika","Tangerang Selatan,Banten",1955
Politeknik Teknologi Nuklir,"Sleman,DI Yogyakarta",1985
Politeknik Statistika STIS,Jakarta,1958
Politeknik Siber dan Sandi Negara,"Bogor,Jawa Barat",2003
Politeknik STIA LAN Jakarta,Jakarta,1999
Politeknik STIA LAN Bandung,"Bandung,Jawa Barat",1999
Politeknik STIA LAN Makassar,"Makassar,Sulawesi Selatan",1999
Sekolah Tinggi Intelijen Negara,"Bogor,Jawa Barat",2004
Sekolah Tinggi Hukum Militer AHM-PTHM,Jakarta,1952
Akademi Militer,"Magelang,Jawa Tengah",1957
Politeknik Angkatan Darat,"Batu,Jawa Timur",1988
Akademi Angkatan Laut,"Surabaya,Jawa Timur",1951
Sekolah Tinggi Teknologi Angkatan Laut,"Surabaya,Jawa Timur",1966
Akademi Angkatan Udara,"Sleman,DI Yogyakarta",1965
Sekolah Tinggi Ilmu Kepolisian,Jakarta,1950
Akademi Kepolisian,"Semarang,Jawa Tengah",1965
Universitas Islam Negeri Syarif Hidayatullah,Banten,1 Juni 1957
Universitas Islam Negeri Sunan Kalijaga,Daerah Istimewa Yogyakarta,26 September 1951
Universitas Islam Negeri Maulana Malik Ibrahim,Jawa Timur,21 Maret 1957
Universitas Islam Negeri Sunan Gunung Djati,Jawa Barat,8 April 1968
Universitas Islam Negeri Alauddin,Sulawesi Selatan,28 Oktober 1965
Universitas Islam Negeri Sunan Ampel,Jawa Timur,5 Juli 1965
Universitas Islam Negeri Sultan Syarif Kasim,Riau,19 September 1970
Universitas Islam Negeri Sumatera Utara,Sumatera Utara,19 November 1973
Universitas Islam Negeri Raden Fatah,Sumatera Selatan,13 November 1964
Universitas Islam Negeri Walisongo,Jawa Tengah,6 April 1970
Universitas Islam Negeri Ar-Raniry,Aceh,5 Oktober 1963
Universitas Islam Negeri Sultan Maulana Hasanuddin,Banten,1 Juni 1961
Universitas Islam Negeri Imam Bonjol,Sumatera Barat,29 November 1966
Universitas Islam Negeri Raden Intan,Lampung,26 Oktober 1968
Universitas Islam Negeri Mataram,Nusa Tenggara Barat,24 Oktober 1966
Universitas Islam Negeri Sultan Thaha Saifuddin,Jambi,8 September 1967
Universitas Islam Negeri Antasari,Kalimantan Selatan,20 November 1964
Universitas Islam Internasional Indonesia,Jawa Barat,29 Juni 2016
Universitas Islam Negeri Sayyid Ali Rahmatullah,Jawa Timur,11 Mei 2021
Universitas Islam Negeri Profesor Kiai Haji Saifuddin Zuhri,Jawa Tengah,21 Maret 1997
Universitas Islam Negeri Raden Mas Said,Jawa Tengah,12 September 1992
Universitas Islam Negeri Sultan Aji Muhammad Idris,Kalimantan Timur,21 Maret 1997
Universitas Islam Negeri Kiai Haji Achmad Siddiq,Jawa Timur,21 Maret 1997
Universitas Islam Negeri Fatmawati Sukarno,Bengkulu,21 Maret 1997
Universitas Islam Negeri Datokarama,Sulawesi Tengah,21 Maret 1997
Universitas Islam Negeri Mahmud Yunus,Sumatera Barat,21 Maret 1997
Universitas Islam Negeri Sjech M. Djamil Djambek,Sumatera Barat,21 Maret 1997
Universitas Islam Negeri K.H. Abdurrahman Wahid,Jawa Tengah,21 Maret 1997
Universitas Islam Negeri Syekh Ali Hasan Ahmad Addary,Sumatera Utara,21 Maret 1997
Universitas Islam Negeri Salatiga,Jawa Tengah,21 Maret 1997
Universitas Islam Negeri Siber Syekh Nurjati,Jawa Barat,12 Agustus 1965
Institut Agama Islam Negeri Ambon,Maluku,29 Agustus 1982
Institut Agama Islam Negeri Sultan Amai,Gorontalo,4 Januari 1969
Institut Agama Islam Negeri Manado,Sulawesi Utara,30 Juni 1997
Institut Agama Islam Negeri Palopo,Sulawesi Selatan,21 Maret 1997
Institut Agama Islam Negeri Sultan Qaimuddin,Sulawesi Tenggara,21 Maret 1997
Institut Agama Islam Negeri Ternate,Maluku Utara,21 Maret 1997
Institut Agama Islam Negeri Zawiyah Cot Kala,Aceh,14 Oktober 1980
Institut Agama Islam Negeri Palangka Raya,Kalimantan Tengah,21 Maret 1997
Institut Agama Islam Negeri Pontianak,Kalimantan Barat,21 Maret 1997
Institut Agama Islam Negeri Metro,Lampung,21 Maret 1997
Institut Agama Islam Negeri Ponorogo,Jawa Timur,21 Maret 1997
Institut Agama Islam Negeri Kerinci,Jambi,21 Maret 1997
Institut Agama Islam Negeri Lhokseumawe,Aceh,1 Agustus 2016
Institut Agama Islam Negeri Parepare,Sulawesi Selatan,21 Maret 1997
Institut Agama Islam Negeri Curup,Bengkulu,19 September 1997
Institut Agama Islam Negeri Fattahul Muluk,Papua,20 Juli 2006
Institut Agama Islam Negeri Kudus,Jawa Tengah,21 Maret 1997
Institut Agama Islam Negeri Madura,Jawa Timur,21 Maret 1997
Institut Agama Islam Negeri Syaikh Abdurrahman Siddik,Kepulauan Bangka Belitung,21 Maret 1997
Institut Agama Islam Negeri Bone,Sulawesi Selatan,21 Maret 1997
Institut Agama Islam Negeri Kediri,Jawa Timur,21 Maret 1997
Institut Agama Islam Negeri Sorong,Papua Barat Daya,21 Maret 1997
Institut Agama Islam Negeri Takengon,Aceh,18 September 2007
Sekolah Tinggi Agama Islam Negeri Teungku Dirundeng Meulaboh,Aceh,19 September 2014
Sekolah Tinggi Agama Islam Negeri Bengkalis,Riau,19 September 2014
Sekolah Tinggi Agama Islam Negeri Majene,Sulawesi Barat,12 November 2016
Sekolah Tinggi Agama Islam Negeri Mandailing Natal,Sumatera Utara,12 April 2018
Sekolah Tinggi Agama Islam Negeri Sultan Abdurrahman,Kepulauan Riau,20 Juli 2010
Institut Agama Kristen Negeri Tarutung,Sumatera Utara,1 Maret 2018
Institut Agama Kristen Negeri Manado,Sulawesi Utara,1 Maret 2018
Institut Agama Kristen Negeri Ambon,Maluku,1 Maret 2018
Institut Agama Kristen Negeri Toraja,Sulawesi Selatan,23 Januari 2020
Institut Agama Kristen Negeri Kupang,Nusa Tenggara Timur,23 Januari 2020
Institut Agama Kristen Negeri Palangka Raya,Kalimantan Tengah,23 Januari 2020
Sekolah Tinggi Agama Kristen Protestan Negeri Sentani,Papua,10 April 2001
Universitas Hindu Negeri I Gusti Bagus Sugriwa,Bali,23 Januari 2020
Institut Agama Hindu Negeri Tampung Penyang,Kalimantan Tengah,6 September 1986
Institut Agama Hindu Negeri Gde Pudja,Nusa Tenggara Barat,11 Juli 2001
Sekolah Tinggi Agama Hindu Negeri Mpu Kuturan,Bali,21 Maret 2016
Sekolah Tinggi Agama Katolik Negeri Pontianak,Kalimantan Barat,6 April 2017
Sekolah Tinggi Agama Buddha Negeri Sriwijaya,Banten,20 Mei 2002
Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,Jawa Tengah,25 Januari 2007
