Nama Perguruan Tinggi,Lokasi,Tahun Berdiri
Universitas YPIB Majalengka,Majalengka,2022
Institut Teknologi Petroleum Balongan,Indramayu,2022
Institut Bisnis dan Informatika Kesatuan,Bogor,1953
Universitas Jenderal Achmad Yani Yogyakarta,Yogyakarta,2018
Universitas Atma Jaya Yogyakarta,Yogyakarta,1965
Universitas Sanata Dharma Yogyakarta,Yogyakarta,1955
Universitas Ahmad Dahlan,Yogyakarta,1960
Institut Sains dan Teknologi AKPRIND,Yogyakarta,1970
Universitas Kristen Duta Wacana,Yogyakarta,1962
Universitas Islam Indonesia,Yogyakarta,1945
Universitas Mercu Buana Yogyakarta,Yogyakarta,1985
Universitas Muhammadiyah Yogyakarta,Yogyakarta,1980
Universitas Sarjanawiyata Tamansiswa,Yogyakarta,1955
Universitas Teknologi Yogyakarta,Yogyakarta,1982
Universitas AMIKOM Yogyakarta,Yogyakarta,1994
Sekolah Tinggi Teknologi Adisutjipto,Yogyakarta,2002
Akademi Komunikasi Radya Binatama,Yogyakarta,1999
Universitas Islam Mulia Yogyakarta,Yogyakarta,2024
Universitas Islam Sultan Agung,Semarang,1962
Universitas Amikom Purwokerto,Purwokerto,2005
Universitas Islam Nahdlatul Ulama,Jepara,2013
Universitas Sains Al Qur'an,Wonosobo,2001
Universitas Muhammadiyah Magelang,Magelang,1964
Universitas Muhammadiyah Purwokerto,Purwokerto,1964
Universitas Muhammadiyah Purworejo,Purworejo,1964
Universitas Muhammadiyah Semarang,Semarang,1997
Universitas Muhammadiyah Surakarta,Surakarta,1960
Universitas Muhammaddiyah Kudus,Kudus,2018
Universitas Katolik Soegijapranata,Semarang,1964
Universitas Peradaban Bumiayu,Bumiayu,2013
Universitas Widya Dharma,Klaten,1994
Universitas Muria Kudus,Kudus,1982
Universitas Kristen Satya Wacana,Salatiga,1956
Universitas Surakarta,Surakarta,1960
Universitas Islam Batik Surakarta,Surakarta,1983
Akademi Manajemen Informatika BSI Purwokerto,Purwokerto,2006
Universitas Dian Nuswantoro,Semarang,1990
Universitas Stikubank,Semarang,1968
Universitas Veteran Bangun Nusantara,Sukoharjo,1993
Universitas Wahid Hasyim,Semarang,2000
Universitas Nahdlatul Ulama Surakarta,Surakarta,2000
Universitas Nasional Surakarta,Surakarta,2024
Universitas Sugeng Hartono,Sukoharjo,2024
Universitas Gajayana,Malang,1980
Institut Sains Terapan dan Teknologi Surabaya,Surabaya,1979
Institut Informatika Indonesia Surabaya,Surabaya,2003
Institut Ilmu Kesehatan Bhakti Wiyata,Kediri,2006
Sekolah Tinggi Ilmu Ekonomi Kertanegara Malang,Malang,1982
STIKES Katolik St. Vincentius a Paulo Surabaya,Surabaya,1954
Universitas Dinamika,Surabaya,1983
Universitas Islam Malang,Malang,1981
Universitas Muhammadiyah Malang,Malang,1964
Universitas Ma Chung,Malang,2007
Universitas Merdeka Malang,Malang,1964
Universitas Muhammadiyah Surabaya,Surabaya,1964
Universitas Muhammadiyah Sidoarjo,Sidoarjo,1987
Universitas Muhammadiyah Gresik,Gresik,1987
Universitas Islam Darul Ulum Lamongan,Lamongan,1987
Universitas Mayjen Sungkono,Mojokerto,1981
Universitas Muhammadiyah Jember,Jember,1987
Universitas Widyagama,Malang,1971
Universitas Islam Majapahit,Mojokerto,1999
Universitas PGRI Banyuwangi,Banyuwangi,-
Universitas Kristen Petra,Surabaya,1961
Universitas Surabaya,Surabaya,1966
Universitas Ciputra,Surabaya,2006
Universitas Bojonegoro,Bojonegoro,
Universitas Angkling Darmo,Bojonegoro,2013
STIE I.E.U. (Indonesian European University),Surabaya,1990
Sekolah Tinggi Filsafat Widya Sasana,Malang,1971
Universitas Katolik Darma Cendika,Surabaya,1986
Universitas Katolik Widya Mandala Madiun,Madiun,1985
Universitas Nahdlatul Ulama Sidoarjo,Sidoarjo,2014
Universitas Katolik Widya Mandala Surabaya,Surabaya,1960
Universitas Wijaya Kusuma Surabaya,Surabaya,1981
Universitas KH. Bahaudin Mudhary Madura,Sumenep,2019
"Universitas ""W.R. Supratman""",Surabaya,1985
Universitas Islam Lamongan,Lamongan,1999
Universitas Islam Balitar,Blitar,2003
Sekolah Tinggi Manajemen Informatika dan Komputer Widya Dharma,Pontianak,2007
Universitas Katolik De La Salle Manado,Manado,2000
Universitas Kristen Indonesia Tomohon,Tomohon,1966
Universitas Klabat[1],Minahasa Utara,1965
Universitas Sariputra Indonesia Tomohon,Tomohon,1999
Universitas Muhammadiyah Manado,Manado,2022
STMIK Adhi Guna,Palu,2001
STMIK Bina Mulia Palu,Palu,2000
Universitas Alkhairaat,Palu,1964
Universitas Fajar,Makassar,2008
Universitas Islam Makassar,Kota Makassar,1966
Universitas Muhammadiyah Makassar,Makassar,1963
Universitas Pepabri Makassar,Makassar,1978
Universitas Muslim Indonesia,Makassar,1954
Universitas Bosowa,Makassar,1985
Universitas Pejuang Republik Indonesia,Makassar,1959
Universitas Handayani Makassar,Makassar,1996
Sekolah Tinggi Manajemen Informatika dan Komputer (STMIK) Kharisma,Makassar,2000
STIA Abdul Haris Makassar,Makassar,2004
Universitas Dwijendra,Denpasar,
Universitas Panji Sakti,Singaraja,1985
Universitas Pendidikan Nasional,Denpasar,
Universitas Primakara,Denpasar,2013
Universitas Warmadewa,Denpasar,1984
STMIK Bandung Bali,Badung,
Sekolah Tinggi Pariwisata Mataram,Mataram,1997
Universitas 45 Mataram,Mataram,1983
Universitas Islam Al-Azhar Mataram,Mataram,
Universitas Mahasaraswati Mataram,Mataram,
Universitas Gunung Rinjani,Selong,1996
Universitas Nahdlatun Wathan,Mataram,1987
Universitas Samawa,Sumbawa Besar,1997
Universitas Cordova Indonesia,"Taliwang,Sumbawa Barat",
Universitas Muhammadiyah Mataram,Mataram,1981
Sekolah Tinggi Manajemen Informatika Bumi Gora,Mataram,1987
Sekolah Tinggi Ilmu Akuntansi Mataram,Mataram,1986
Institut Teknologi Robotik,,"Jonggat, Lombok Tengah"
IKIP Mataram,Mataram,
IKIP Bima,Bima,
Universitas Kristen Artha Wacana,Kupang,1985
Sekolah Tinggi Keguruan dan Ilmu Pendidikan Simbosis,Ende,2014
Universitas Gadjah Mada,Daerah Istimewa Yogyakarta,19 Desember 1949
Universitas Indonesia,DKI Jakarta[b],2 Februari 1950
Universitas Sumatera Utara,Sumatera Utara,20 Agustus 1952
Universitas Airlangga,Jawa Timur,1 November 1954
Universitas Hasanuddin,Sulawesi Selatan,10 September 1956
Universitas Andalas,Sumatera Barat,13 September 1956
Universitas Padjadjaran,Jawa Barat,11 September 1957
Universitas Diponegoro,Jawa Tengah,15 Oktober 1957
Universitas Sriwijaya,Sumatera Selatan,29 Oktober 1960
Universitas Lambung Mangkurat,Kalimantan Selatan,01 Januari 1960
Universitas Syiah Kuala,Aceh,2 September 1961
Universitas Sam Ratulangi,Sulawesi Utara,14 September 1961
Universitas Udayana,Bali,29 September 1962
Universitas Nusa Cendana,Nusa Tenggara Timur,1 September 1962
Universitas Mulawarman,Kalimantan Timur,27 September 1962
Universitas Mataram,Nusa Tenggara Barat,1 Oktober 1962
Universitas Riau,Riau0°28′35″N101°22′50″E﻿ / ﻿0.4764°N 101.3806°E﻿ /0.4764; 101.3806,1 Oktober 1962
Universitas Cenderawasih,Papua,10 November 1962
Universitas Brawijaya,Jawa Timur,5 Januari 1963
Universitas Jambi,Jambi,23 Maret 1963
Universitas Pattimura,Maluku,20 Juli 1955
Universitas Tanjungpura,Kalimantan Barat,20 Mei 1959
Universitas Jenderal Soedirman,Jawa Tengah,23 September 1963
Universitas Palangka Raya,Kalimantan Tengah,10 November 1963
Universitas Jember,Jawa Timur,10 November 1964
Universitas Lampung,Lampung5°21′52.24″S105°14′36.38″E﻿ / ﻿5.3645111°S 105.2434389°E﻿ /-5.3645111; 105.2434389,23 September 1965
Universitas Sebelas Maret,Jawa Tengah,11 Maret 1976
Universitas Tadulako,Sulawesi Tengah,4 Agustus 1981
Universitas Halu Oleo,Sulawesi Tenggara4°0′31.72″S122°31′21.65″E﻿ / ﻿4.0088111°S 122.5226806°E﻿ /-4.0088111; 122.5226806,19 Agustus 1981
Universitas Bengkulu,Bengkulu3°45′35.27″S102°16′20.8″E﻿ / ﻿3.7597972°S 102.272444°E﻿ /-3.7597972; 102.272444,24 April 1982
Universitas Terbuka,Banten6°20′41.6″S106°45′29.11″E﻿ / ﻿6.344889°S 106.7580861°E﻿ /-6.344889; 106.7580861,4 September 1984
Universitas Negeri Padang,Sumatera Barat,23 Oktober 1954
Universitas Negeri Malang,Jawa Timur7°57′46.78″S112°37′6.41″E﻿ / ﻿7.9629944°S 112.6184472°E﻿ /-7.9629944; 112.6184472,18 Oktober 1954
Universitas Pendidikan Indonesia,Jawa Barat6°51′48.24″S107°35′39.48″E﻿ / ﻿6.8634000°S 107.5943000°E﻿ /-6.8634000; 107.5943000,20 Oktober 1954
Universitas Negeri Manado,Sulawesi Utara1°15′59.7″N124°52′59.4″E﻿ / ﻿1.266583°N 124.883167°E﻿ /1.266583; 124.883167,22 September 1955
Universitas Negeri Makassar,Sulawesi Selatan,1 Agustus 1961
Universitas Negeri Jakarta,DKI Jakarta6°11′40.2″S106°52′43.7″E﻿ / ﻿6.194500°S 106.878806°E﻿ /-6.194500; 106.878806,16 Mei 1964
Universitas Negeri Yogyakarta,Daerah Istimewa Yogyakarta,21 Mei 1964
Universitas Negeri Surabaya,Jawa Timur,19 Desember 1964
Universitas Negeri Medan,Sumatera Utara,23 Juni 1963
Universitas Negeri Semarang,Jawa Tengah7°2′55.4″S110°23′22.7″E﻿ / ﻿7.048722°S 110.389639°E﻿ /-7.048722; 110.389639,14 September 1965
Universitas Sultan Ageng Tirtayasa,Banten,1 Oktober 1981
Universitas Trunojoyo Madura,Jawa Timur7°7′39.9″S112°43′23.1″E﻿ / ﻿7.127750°S 112.723083°E﻿ /-7.127750; 112.723083,23 Juli 2001
Universitas Khairun,Maluku Utara0°45′45.2″N127°20′10.6″E﻿ / ﻿0.762556°N 127.336278°E﻿ /0.762556; 127.336278,15 Agustus 1964
Universitas Papua,Papua Barat,3 November 2000
Universitas Malikussaleh,Aceh5°14′2.56″N96°59′14.22″E﻿ / ﻿5.2340444°N 96.9872833°E﻿ /5.2340444; 96.9872833,12 Juni 1969
Universitas Negeri Gorontalo,Gorontalo0°33′23.07″N123°3′48.98″E﻿ / ﻿0.5564083°N 123.0636056°E﻿ /0.5564083; 123.0636056,1 September 1963
Universitas Pendidikan Ganesha,Bali,11 Mei 2006
Universitas Bangka Belitung,Bangka Belitung2°4′11.8″S106°4′38.7″E﻿ / ﻿2.069944°S 106.077417°E﻿ /-2.069944; 106.077417,12 April 2006
Universitas Borneo Tarakan,Kalimantan Utara3°18′11.3″N117°38′55.8″E﻿ / ﻿3.303139°N 117.648833°E﻿ /3.303139; 117.648833,9 Oktober 1999
Universitas Musamus Merauke,Papua Selatan8°31′54.7″S140°25′1.5″E﻿ / ﻿8.531861°S 140.417083°E﻿ /-8.531861; 140.417083,22 November 2010
Universitas Maritim Raja Ali Haji,Kepulauan Riau,1 Agustus 2007
Universitas Samudra,Aceh4°27′27.4″N97°58′17.3″E﻿ / ﻿4.457611°N 97.971472°E﻿ /4.457611; 97.971472,1 Mei 1972
Universitas Sulawesi Barat,Sulawesi Barat,31 November 2007
Universitas Sembilanbelas November,Sulawesi Tenggara4°04′22.8″S121°37′28.2″E﻿ / ﻿4.073000°S 121.624500°E﻿ /-4.073000; 121.624500,16 April 1984
Universitas Tidar,Jawa Tengah,17 Juli 1979
Universitas Siliwangi,Jawa Barat,1980
Universitas Teuku Umar,Aceh4°8′44.2″N96°11′50.4″E﻿ / ﻿4.145611°N 96.197333°E﻿ /4.145611; 96.197333,10 November 2006
"Universitas Pembangunan Nasional ""Veteran"" Jawa Timur",Jawa Timur7°20′0″S112°47′24″E﻿ / ﻿7.33333°S 112.79000°E﻿ /-7.33333; 112.79000,5 Juli 1959
Universitas Timor,Nusa Tenggara Timur9°30′45.7″S124°30′41.8″E﻿ / ﻿9.512694°S 124.511611°E﻿ /-9.512694; 124.511611,16 Juni 2000
"Universitas Pembangunan Nasional ""Veteran"" Jakarta",DKI Jakarta,21 Februari 1967
"Universitas Pembangunan Nasional ""Veteran"" Yogyakarta",Daerah Istimewa Yogyakarta,15 Desember 1958
Universitas Singaperbangsa Karawang,Jawa Barat,2 Februari 1982
Institut Teknologi Bandung,Jawa Barat6°53′27.25″S107°36′37.36″E﻿ / ﻿6.8909028°S 107.6103778°E﻿ /-6.8909028; 107.6103778﻿ (Bandung Institute of Technology),3 Juli 1920
Institut Teknologi Sepuluh Nopember,Jawa Timur7°16′54″S112°47′41″E﻿ / ﻿7.28167°S 112.79472°E﻿ /-7.28167; 112.79472﻿ (Sepuluh Nopember Institute of Technology),10 November 1957
Institut Pertanian Bogor,Jawa Barat,1 September 1963
Institut Seni Indonesia Yogyakarta,"Daerah Istimewa Yogyakarta7°51′08.6″S110°21′21.21″E﻿ / ﻿7.852389°S 110.3558917°E﻿ /-7.852389; 110.3558917﻿ (Indonesian Institute of the Arts, Yogyakarta)",30 Mei 1984
Institut Seni Indonesia Bali,"Bali8°39′12.93″S115°13′57.5″E﻿ / ﻿8.6535917°S 115.232639°E﻿ /-8.6535917; 115.232639﻿ (Indonesian Institute of the Arts, Denpasar)",28 Januari 1967
Institut Seni Indonesia Surakarta,Jawa Tengah,15 Juli 1964
Institut Seni Indonesia Padang Panjang,Sumatera Barat,22 Desember 1965
Institut Seni Budaya Indonesia Bandung,Jawa Barat,31 Maret 1968
Institut Seni Budaya Indonesia Aceh,Aceh,6 Oktober 2014
Institut Seni Budaya Indonesia Tanah Papua,Papua,09 Oktober 2014
Institut Teknologi Kalimantan,Kalimantan Timur1°09′01.5″S116°51′39.2″E﻿ / ﻿1.150417°S 116.860889°E﻿ /-1.150417; 116.860889﻿ (Kalimantan Institute of Technology),6 Oktober 2014
Institut Teknologi Sumatera,Lampung,6 Oktober 2014
Institut Teknologi Bacharuddin Jusuf Habibie,Sulawesi Selatan,17 Oktober 2014
Politeknik Manufaktur Bandung,Jawa Barat,24 Maret 1977
Politeknik Negeri Jakarta,DKI Jakarta[c],20 September 1982
Politeknik Negeri Medan,Sumatera Utara,20 September 1982
Politeknik Negeri Bandung,Jawa Barat,27 Januari 1979
Politeknik Negeri Semarang,Jawa Tengah,06 Agustus 1982
Politeknik Negeri Sriwijaya,Sumatera Selatan,20 September 1982
Politeknik Negeri Lampung,Lampung,7 April 1984
Politeknik Negeri Ambon,Maluku,5 Oktober 1987
Politeknik Negeri Padang,Sumatera Barat,12 Maret 1985
Politeknik Negeri Bali,Bali,3 Desember 1985
Politeknik Negeri Pontianak,Kalimantan Barat,3 Desember 1985
Politeknik Negeri Ujung Pandang,Sulawesi Selatan,10 Mei 1987
Politeknik Negeri Manado,Sulawesi Utara,9 November 1987
Politeknik Perkapalan Negeri Surabaya,Jawa Timur,1 April 1987
Politeknik Negeri Banjarmasin,Kalimantan Selatan,23 September 1987
Politeknik Negeri Lhokseumawe,Aceh,5 Oktober 1985
Politeknik Negeri Kupang,Nusa Tenggara Timur,11 Maret 1985
Politeknik Elektronika Negeri Surabaya,Jawa Timur,29 Mei 1986
Politeknik Negeri Jember,Jawa Timur,29 Oktober 1988
Politeknik Pertanian Negeri Pangkajene Kepulauan,Sulawesi Selatan,9 September 1990
Politeknik Pertanian Negeri Kupang,Nusa Tenggara Timur,7 April 1984
Politeknik Perikanan Negeri Tual,Maluku,18 Juli 1997
Politeknik Negeri Malang,Jawa Timur,27 Januari 1979
Politeknik Pertanian Negeri Samarinda,Kalimantan Timur,28 April 1997
Politeknik Pertanian Negeri Payakumbuh,Sumatera Barat,6 Februari 1989
Politeknik Negeri Samarinda,Kalimantan Timur,3 Desember 1985
Politeknik Negeri Media Kreatif,DKI Jakarta,8 Oktober 2008
Politeknik Manufaktur Negeri Bangka Belitung,Kepulauan Bangka Belitung,18 Oktober 2010
Politeknik Negeri Batam,Kepulauan Riau,18 Oktober 2010
Politeknik Negeri Nusa Utara,Sulawesi Utara,22 Juni 2011
Politeknik Negeri Bengkalis,Riau,29 Juli 2011
Politeknik Negeri Balikpapan,Kalimantan Timur,9 September 2011
Politeknik Negeri Madura,Jawa Timur,29 Oktober 2012
Politeknik Maritim Negeri Indonesia,Jawa Tengah,19 September 2012
Politeknik Negeri Banyuwangi,Jawa Timur,4 Oktober 2013
Politeknik Negeri Madiun,Jawa Timur,30 Oktober 2012
Politeknik Negeri Fakfak,Papua Barat,30 Oktober 2012
Politeknik Negeri Sambas,Kalimantan Barat,22 Februari 2013
Politeknik Negeri Tanah Laut,Kalimantan Selatan,25 September 2009
Politeknik Negeri Subang,Jawa Barat,2 April 2014
Politeknik Negeri Ketapang,Kalimantan Barat,8 April 2008
Politeknik Negeri Cilacap,Jawa Tengah,8 Juli 2008
Politeknik Negeri Indramayu,Jawa Barat,8 Juli 2008
Politeknik Negeri Nunukan,Kalimantan Utara,24 September 2020
Akademi Komunitas Negeri Pacitan,Jawa Timur,16 Oktober 2013
Akademi Komunitas Negeri Putra Sang Fajar Blitar,Jawa Timur,17 Oktober 2014
Akademi Komunitas Negeri Aceh Barat,Aceh,17 Oktober 2014
Akademi Komunitas Negeri Rejang Lebong,Bengkulu,3 Februari 2016
Akademi Komunitas Negeri Seni dan Budaya Yogyakarta,Daerah Istimewa Yogyakarta,3 Juli 2020
Institut Pemerintahan Dalam Negeri,"Sumedang,Jawa Barat",1956
Politeknik Energi dan Mineral Akamigas,"Blora,Jawa Tengah",1967
Politeknik Energi dan Pertambangan Bandung,"Bandung,Jawa Barat",2019
Politeknik Pengayoman Indonesia,"Depok,Jawa Barat",2024
Sekolah Tinggi Multi Media MMTC Yogyakarta,"Sleman,DI Yogyakarta",2014
Politeknik Pariwisata Makassar,"Makassar,Sulawesi Selatan",1991
Politeknik Pariwisata Medan,"Medan,Sumatera Utara",1991
Politeknik Pariwisata Lombok,"Lombok Tengah,NTB",2016
Politeknik Pariwisata Palembang,"Palembang,Sumatera Selatan",2016
Politeknik Pariwisata Bali,"Badung,Bali",1978
Politeknik Pariwisata NHI Bandung,"Bandung,Jawa Barat",1993
Politeknik Kelautan dan Perikanan Sorong,"Sorong,Papua Barat Daya",2001
Politeknik Kelautan dan Perikanan Bitung,"Bitung,Sulawesi Utara",1957
Politeknik Kelautan dan Perikanan Sidoarjo,"Sidoarjo,Jawa Timur",1982
Politeknik Kelautan dan Perikanan Karawang,"Karawang,Jawa Barat",2016
Politeknik Kelautan dan Perikanan Bone,"Bone,Sulawesi Selatan",2016
Politeknik Kelautan dan Perikanan Kupang,"Kupang,NTT",2016
Politeknik Kelautan dan Perikanan Dumai,"Dumai,Riau",2017
Politeknik Kelautan dan Perikanan Pangandaran,"Pangandaran,Jawa Barat",2019
Politeknik Kelautan dan Perikanan Jembrana,"Jembrana,Bali",2019
Politeknik Ahli Usaha Perikanan,Jakarta,1962
Akademi Komunitas Kelautan dan Perikanan Wakatobi,"Wakatobi,Sulawesi Tenggara",2018
Politeknik Keuangan Negara STAN,"Tangerang Selatan,Banten",1952
Sekolah Tinggi Ilmu Pelayaran Jakarta,Jakarta,1957
Politeknik Pelayaran Barombong,"Makassar,Sulawesi Selatan",1980
Akademi Penerbang Indonesia,"Banyuwangi,Jawa Timur",2015
Politeknik Keselamatan Transportasi Jalan,"Tegal,Jawa Tengah",1971
Politeknik Ilmu Pelayaran Makassar,"Makassar,Sulawesi Selatan",1921
Politeknik Ilmu Pelayaran Semarang,"Semarang,Jawa Tengah",1942
Politeknik Pelayaran Surabaya,"Surabaya,Jawa Timur",1982
Politeknik Penerbangan Surabaya,"Surabaya,Jawa Timur",1989
Politeknik Pelayaran Sumatera Barat,"Padang Pariaman,Sumatera Barat",2015
"Politeknik Transportasi Sungai, Danau, dan Penyeberangan Palembang","Palembang,Sumatera Selatan",2018
Politeknik Pelayaran Banten,"Tangerang,Banten",2002
Politeknik Transportasi Darat Bali,"Gianyar,Bali",2002
Politeknik Pelayaran Sorong,"Sorong,Papua Barat Daya",2007
Politeknik Pelayaran Malahayati,"Aceh Besar,Aceh",2010
Politeknik Perkeretaapian Indonesia,"Madiun,Jawa Timur",2014
Politeknik Penerbangan Indonesia Curug,"Tangerang,Banten",1952
Politeknik Penerbangan Palembang,"Palembang,Sumatera Selatan",1989
Politeknik Penerbangan Jayapura,"Jayapura,Papua",2002
Politeknik Penerbangan Makassar,"Makassar,Sulawesi Selatan",1984
Politeknik Penerbangan Medan,"Medan,Sumatera Utara",1989
Politeknik Pelayaran Sulawesi Utara,"Minahasa Selatan,Sulawesi Utara",2016
Politeknik Transportasi Darat Indonesia - STTD,"Bekasi,Jawa Barat",1951
Politeknik APP Jakarta,Jakarta,2014
Politeknik AKA Bogor,"Bogor,Jawa Barat",2014
Politeknik ATK Yogyakarta,"Bantul,DI Yogyakarta",2014
Politeknik ATI Padang,"Padang,Sumatera Barat",2014
Politeknik ATI Makassar,"Makassar,Sulawesi Selatan",2014
Politeknik Industri Furnitur dan Pengolahan Kayu,"Kendal,Jawa Tengah",2018
Politeknik Industri Logam Morowali,"Morowali,Sulawesi Tengah",2016
Politeknik Industri Petrokimia Banten,"Serang,Banten",2022
Politeknik STMI Jakarta,Jakarta,2014
Politeknik STTT Bandung,"Bandung,Jawa Barat",2014
Politeknik Teknologi Kimia Industri Medan,"Medan,Sumatera Utara",2014
